note	src	dst
Color Screen Opcode	src/effects/ScreenEffectOverlay.gd	addons/exmateria_effects/overlay/ScreenEffectOverlay.gd
Color Screen Opcode	src/effects/ScreenSubsystem.gd	addons/exmateria_effects/subsystem/ScreenSubsystem.gd
Color Track Interpolation	src/effects/ColorSubsystem.gd	addons/exmateria_effects/subsystem/ColorSubsystem.gd
Combat Color Appliers	src/effects/PaletteSubsystem.gd	addons/exmateria_effects/subsystem/PaletteSubsystem.gd
Display Space Blend Fold	assets/shaders/effect_fold_add.gdshader	addons/exmateria_effects/render/effect_fold_add.gdshader
Display Space Blend Fold	assets/shaders/effect_fold_mix.gdshader	addons/exmateria_effects/render/effect_fold_mix.gdshader
Display Space Blend Fold	assets/shaders/effect_fold_sub.gdshader	addons/exmateria_effects/render/effect_fold_sub.gdshader
Display Space Blend Fold	assets/shaders/effect_particle_fold.gdshaderinc	addons/exmateria_effects/render/effect_particle_fold.gdshaderinc
Display Space Blend Fold	assets/shaders/effect_particle_opaque.gdshader	addons/exmateria_effects/render/effect_particle_opaque.gdshader
Display Space Blend Fold	assets/shaders/trap_charge_line.gdshader	addons/exmateria_effects/trap/trap_charge_line.gdshader
Display Space Blend Fold	src/effects/EffectMultiMeshPool.gd	addons/exmateria_effects/render/EffectMultiMeshPool.gd
Display Space Blend Fold	src/effects/EffectParticleRenderer.gd	addons/exmateria_effects/render/EffectParticleRenderer.gd
Display Space Blend Fold	src/effects/EngineFoldCompositor.gd	addons/exmateria_effects/render/EngineFoldCompositor.gd
Display Space Blend Fold	src/effects/OTDepthPrimOrder.gd	addons/exmateria_effects/render/OTDepthPrimOrder.gd
Display Space Blend Fold	src/effects/ScreenSubsystem.gd	addons/exmateria_effects/subsystem/ScreenSubsystem.gd
Display Space Blend Fold	src/effects/TrapChargeLineEffect.gd	addons/exmateria_effects/trap/TrapChargeLineEffect.gd
Display Space Blend Fold	src/effects/TrapEffect.gd	addons/exmateria_effects/trap/TrapEffect.gd
Display Space Blend Fold	src/effects/UnifiedPrimStager.gd	addons/exmateria_effects/render/UnifiedPrimStager.gd
Display Space Blend Fold	src/effects/callbacks/EffectCallback.gd	addons/exmateria_effects/callbacks/EffectCallback.gd
E001 Emitter Interaction	src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd
E001.BIN Memory Mapping	src/effects/EffectEmitter.gd	addons/exmateria_effects/file_model/EffectEmitter.gd
E001.BIN Memory Mapping	src/effects/Particle.gd	addons/exmateria_effects/particles/Particle.gd
E001.BIN Memory Mapping	src/effects/ParticleSubsystem.gd	addons/exmateria_effects/subsystem/ParticleSubsystem.gd
Effect Animation Sequences	src/effects/ParticleAnimator.gd	addons/exmateria_effects/particles/ParticleAnimator.gd
